0,20,2.9,KII
0,38,9.5,IMB
0.107,13.5,3.2,KII
0.303,7.5,2,KII
0.324,9.2,2.7,KII
0.42,37,9.25,IMB
0.507,12.8,2.9,KII
0.65,40,10,IMB
0.686,6.3,1.7,KII
1.15,35,8.75,IMB
1.541,35.4,8,KII
1.57,29,7.25,IMB
1.728,21,4.2,KII
1.915,19.8,3.2,KII
2.69,37,9.25,IMB
5.01,20,5,IMB
5.59,24,6,IMB
9.219,8.6,2.7,KII
10.433,13,2.6,KII
12.439,8.9,1.9,KII
